Departamento:,Provincia:,Municipio:,Ciudad/localidad:,Distrito:,Distrito municipal:,DM Otro:,UV:,Barrio:,Institución:,Otro:,Fecha:,Turno:,Técnico 1:,Técnico 2:,Supervisor:,_id,_uuid,_submission_time,_index
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,99,,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723318,0ccf28fd-65a1-4ef1-8ea3-7c8639934e5d,2023-02-12 13:42:44,23
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,99,16 de julio,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723471,4aa709d5-07cd-421d-a92d-4d8ca38df420,2023-02-12 13:43:41,24
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,71,,Municipio,,2023-02-12 00:00:00,Mañana,Victoria,,Doctor. Janco y nelson,218723474,6c9f353d-885c-4301-9339-6b4c7abac784,2023-02-12 13:43:43,25
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Marcelo Miranda,,Juan Cruz,218723480,da5dbb04-9aa8-4456-a7d0-659552f8922a,2023-02-12 13:43:47,26
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,999589,3 pasos al frente,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723554,6be22ab8-753d-492e-b067-088357467dbb,2023-02-12 13:44:15,27
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,99,,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723575,ee3fb8d7-524b-46d9-9af3-a6e192dcfe0f,2023-02-12 13:44:24,28
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM 5,DM 5,,,,Municipio,,2023-02-12 00:00:00,Mañana,Marcelo miranda,,Juan Cruz,218723668,74674bce-a3e2-4874-a199-6eefde3bff82,2023-02-12 13:44:43,29
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,99,,Municipio,,2023-02-12 00:00:00,Mañana,Gary Nuñez,,,218723730,44e479f3-fa1d-4661-bb64-e068b27a68f9,2023-02-12 13:45:10,30
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 5,,,Jenecheru,SEDES,,2023-02-12 00:00:00,Mañana,María Ruth Macías,María Rosa Barriga,,218723817,9f272c24-83a3-411e-9165-8413af3b94fc,2023-02-12 13:45:49,31
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,100,,Municipio,,2023-02-12 00:00:00,Mañana,Vania Gicely Rodriguez Paz,Emily Gutierre,Dr.Mercedes,218723818,36b511f2-aaf3-4b36-b10a-773740deb93e,2023-02-12 13:45:51,32
